Date,OpenPrice,HighPrice,LowPrice,ClosePrice,VolumeTraded,AdjustedPrice
31-05-2007,232.210007,233.97000099999997,230.08999599999999,230.82000699999998,4578100.0,202.907425
01-06-2007,232.080002,232.88999900000002,229.58999599999999,230.710007,4093200.0,202.810715
04-06-2007,230.0,230.649994,227.940002,229.710007,3411600.0,201.931686
05-06-2007,229.36000099999998,230.330002,228.25,229.36000099999998,3676600.0,201.623962
06-06-2007,227.770004,227.940002,224.850006,227.350006,4411400.0,199.857025
07-06-2007,226.289993,227.419998,219.33999599999999,220.05000299999998,8363600.0,193.439758
08-06-2007,220.100006,225.07000699999998,218.75,225.059998,5903000.0,197.843979
11-06-2007,225.600006,227.57000699999998,224.13000499999998,227.16000400000001,4285600.0,199.68997199999998
12-06-2007,226.899994,231.11999500000002,225.580002,227.850006,7474500.0,200.296555
13-06-2007,229.0,233.63999900000002,228.0,233.63999900000002,7359000.0,205.386429
14-06-2007,227.710007,229.30000299999998,225.00999500000003,225.75,14381600.0,198.450546
15-06-2007,227.330002,228.47000099999997,226.0,226.190002,7430400.0,198.837296
18-06-2007,226.55000299999998,227.539993,224.80000299999998,226.97000099999997,4370200.0,199.52298000000002
19-06-2007,226.16000400000001,229.57000699999998,225.49000499999997,229.47000099999997,4580200.0,201.72065700000002
20-06-2007,229.75,230.330002,225.72000099999997,225.88999900000002,5831400.0,198.573639
21-06-2007,225.979996,226.899994,222.19999700000002,226.899994,8340800.0,199.461426
22-06-2007,226.5,226.789993,220.270004,222.399994,9778800.0,195.50564599999998
25-06-2007,221.11000099999998,223.169998,215.05000299999998,216.74000499999997,11566700.0,190.530075
26-06-2007,217.69999700000002,219.36000099999998,214.169998,214.169998,9711500.0,188.270859
27-06-2007,214.0,219.80000299999998,212.559998,219.330002,9018600.0,192.806839
28-06-2007,219.75,221.47000099999997,217.669998,218.960007,5980200.0,192.48161299999998
29-06-2007,219.55000299999998,220.440002,213.690002,216.75,7853800.0,190.538864
02-07-2007,217.5,219.649994,216.0,219.17999300000002,5019900.0,192.675034
03-07-2007,220.33999599999999,224.899994,219.99000499999997,224.55000299999998,4676800.0,197.395615
05-07-2007,224.289993,224.289993,221.19999700000002,221.32000699999998,5385600.0,194.556274
06-07-2007,220.75999500000003,224.22000099999997,220.69999700000002,223.63999900000002,4122400.0,196.595673
09-07-2007,223.020004,225.770004,222.50999500000003,223.30000299999998,3998900.0,196.296768
10-07-2007,220.99000499999997,222.69999700000002,216.520004,217.080002,7960500.0,190.828918
11-07-2007,216.979996,219.0,214.649994,216.72000099999997,8924700.0,190.512543
12-07-2007,218.47000099999997,220.289993,216.72000099999997,220.289993,6072900.0,193.650772
13-07-2007,220.059998,222.82000699999998,219.19999700000002,222.17999300000002,5605300.0,195.31221000000002
16-07-2007,221.86999500000002,223.44999700000002,219.460007,220.399994,4654500.0,193.747498
17-07-2007,221.74000499999997,222.11999500000002,218.649994,219.399994,5582200.0,192.868393
18-07-2007,216.02999900000003,218.520004,212.33999599999999,214.99000499999997,11664000.0,188.99176
19-07-2007,217.080002,217.5,210.02999900000003,211.690002,9461900.0,186.090744
20-07-2007,211.169998,211.97000099999997,204.78999299999998,205.940002,14540900.0,181.036148
23-07-2007,207.16000400000001,207.880005,204.070007,205.03999299999998,7760400.0,180.244904
24-07-2007,202.630005,204.559998,196.770004,198.149994,12344500.0,174.188141
25-07-2007,199.800003,203.75,197.779999,203.16000400000001,13933200.0,178.592285
26-07-2007,198.0,199.889999,189.0,195.119995,22690900.0,171.524551
27-07-2007,194.669998,196.83999599999999,190.509995,192.649994,17054700.0,169.657532
30-07-2007,194.520004,197.600006,192.449997,195.740005,12195100.0,172.378784
31-07-2007,198.550003,198.990005,187.25,188.33999599999999,14744900.0,165.861954
01-08-2007,187.029999,189.100006,182.850006,189.0,16284300.0,166.44319199999998
02-08-2007,189.149994,192.479996,185.0,187.46000700000002,13133400.0,165.08691399999998
03-08-2007,185.41000400000001,186.83999599999999,179.679993,179.679993,19828300.0,158.235458
06-08-2007,179.199997,187.860001,175.0,187.78999299999998,18867300.0,165.37756299999998
07-08-2007,186.580002,194.639999,185.389999,191.25,22763100.0,168.424622
08-08-2007,192.03999299999998,198.5,188.759995,193.300003,20622000.0,170.229965
09-08-2007,186.16000400000001,190.649994,180.78999299999998,182.25,20868400.0,160.49881000000002
10-08-2007,178.649994,184.41000400000001,175.570007,180.5,20278700.0,158.957703
13-08-2007,185.009995,187.25,176.610001,177.5,15296400.0,156.315689
14-08-2007,178.600006,178.779999,169.0,169.75,26255900.0,149.49057
15-08-2007,169.0,173.520004,163.830002,164.899994,22268000.0,145.219437
16-08-2007,163.100006,171.41000400000001,157.380005,169.850006,31328800.0,149.578644
17-08-2007,178.119995,180.860001,170.5,175.0,26741100.0,154.114075
20-08-2007,176.020004,176.389999,170.119995,172.759995,13174400.0,152.14134199999998
21-08-2007,172.5,177.300003,170.0,175.479996,11796100.0,154.536743
22-08-2007,177.520004,180.050003,174.28999299999998,177.889999,13427000.0,156.659119
23-08-2007,179.78999299999998,180.880005,175.919998,177.5,10549400.0,156.315689
24-08-2007,176.770004,180.259995,175.600006,179.729996,8935300.0,158.279495
27-08-2007,179.330002,180.050003,177.259995,177.949997,6664000.0,156.711929
28-08-2007,175.009995,176.130005,170.25,170.949997,11610600.0,150.547424
29-08-2007,172.380005,174.449997,167.919998,173.720001,12797500.0,152.986832
30-08-2007,169.96000700000002,173.429993,169.78999299999998,171.380005,9559600.0,150.926117
31-08-2007,175.649994,178.100006,173.869995,176.009995,11023700.0,155.00351
04-09-2007,176.179993,183.699997,176.179993,180.800003,10161800.0,159.22186299999998
05-09-2007,179.679993,179.78999299999998,176.899994,177.809998,8987600.0,156.58871499999998
06-09-2007,178.5,179.71000700000002,175.360001,179.179993,9250600.0,157.795197
07-09-2007,176.600006,181.050003,175.0,178.979996,15144300.0,157.61901899999998
10-09-2007,180.5,186.070007,178.5,183.610001,12989300.0,161.696457
11-09-2007,185.5,187.0,182.5,183.5,11334500.0,161.599594
12-09-2007,183.139999,184.25,181.699997,182.529999,7737700.0,160.745377
13-09-2007,183.75,196.03999299999998,183.720001,188.470001,11292300.0,165.976425
14-09-2007,186.949997,191.0,185.58999599999999,190.58999599999999,9337600.0,167.843369
17-09-2007,189.0,189.5,186.33999599999999,187.610001,7751300.0,165.219055
18-09-2007,190.800003,200.759995,187.41000400000001,200.5,22107700.0,176.570679
19-09-2007,203.490005,207.0,203.0,205.5,23115400.0,180.973907
20-09-2007,210.940002,211.0,203.440002,203.529999,27435100.0,179.239059
21-09-2007,205.559998,210.350006,203.529999,209.979996,18187700.0,184.91922
24-09-2007,210.99000499999997,214.899994,207.71000700000002,210.42999300000002,13439800.0,185.315552
25-09-2007,209.0,213.07000699999998,208.809998,210.899994,11727900.0,185.729477
26-09-2007,212.419998,216.270004,210.80000299999998,214.61000099999998,10681000.0,188.99671899999998
27-09-2007,215.44999700000002,218.38000499999998,214.190002,216.77999900000003,8330100.0,190.90773000000002
28-09-2007,215.75999500000003,218.669998,215.25,216.74000499999997,6156400.0,190.87248200000002
01-10-2007,215.41000400000001,223.61999500000002,215.399994,222.979996,9905600.0,196.367752
02-10-2007,223.25,228.5,222.11000099999998,228.020004,9419800.0,200.80616799999999
03-10-2007,226.25,230.63000499999998,225.669998,227.350006,10121400.0,200.216171
04-10-2007,227.55000299999998,229.25,223.88999900000002,225.94999700000002,10039900.0,198.983246
05-10-2007,227.11000099999998,229.72000099999997,225.960007,228.5,7327700.0,201.228897
08-10-2007,227.50999500000003,229.350006,226.25999500000003,226.960007,4142600.0,199.872711
09-10-2007,227.80000299999998,239.69999700000002,226.19999700000002,239.19999700000002,15123700.0,210.65184
10-10-2007,237.11000099999998,239.02999900000003,234.899994,235.940002,9685200.0,207.780945
11-10-2007,239.020004,239.020004,226.05000299999998,229.00999500000003,12887100.0,201.67803999999998
12-10-2007,230.669998,234.19999700000002,229.729996,233.559998,6544800.0,205.684967
15-10-2007,233.25,234.309998,227.419998,229.33999599999999,7024200.0,201.968674
16-10-2007,227.75999500000003,228.0,223.19999700000002,224.830002,7415500.0,197.996918
17-10-2007,228.25,230.479996,223.080002,227.61999500000002,9189000.0,200.45401
18-10-2007,224.899994,228.309998,224.22000099999997,227.850006,6499200.0,200.656479
19-10-2007,226.149994,227.47000099999997,217.600006,217.690002,13106800.0,191.709091
22-10-2007,216.520004,224.25,213.0,222.17999300000002,12163500.0,195.663162
23-10-2007,223.63000499999998,225.86999500000002,220.91000400000001,223.75999500000003,8176600.0,197.054642
24-10-2007,222.75999500000003,225.82000699999998,215.80000299999998,225.11999500000002,12650800.0,198.252274
25-10-2007,224.11000099999998,230.0,221.809998,226.66000400000001,12088700.0,199.919342
26-10-2007,232.86000099999998,236.99000499999997,229.36000099999998,235.919998,9389300.0,208.086838
29-10-2007,236.22000099999997,244.979996,235.07000699999998,243.809998,9892400.0,215.04600499999998
30-10-2007,241.25,246.399994,239.44999700000002,240.330002,10453400.0,211.976563
31-10-2007,240.36000099999998,250.69999700000002,240.0,247.919998,14384600.0,218.67115800000002
01-11-2007,243.55000299999998,244.41000400000001,238.75,240.210007,12579000.0,211.87072799999999
02-11-2007,241.80000299999998,241.80000299999998,223.440002,229.600006,25177900.0,202.512527
05-11-2007,220.0,224.899994,212.80000299999998,218.38999900000002,21377900.0,192.625015
06-11-2007,221.74000499999997,224.07000699999998,213.58999599999999,223.16000400000001,15570500.0,196.832245
07-11-2007,218.899994,221.789993,213.16000400000001,214.17999300000002,13210300.0,188.911713
08-11-2007,213.669998,218.0,201.570007,209.940002,20301400.0,185.17186
09-11-2007,202.570007,218.58999599999999,202.570007,211.330002,16979700.0,186.39793400000002
12-11-2007,210.899994,221.190002,208.240005,214.710007,14406900.0,189.37915
13-11-2007,220.940002,233.039993,218.33999599999999,233.039993,17393800.0,205.54663100000002
14-11-2007,239.75,240.05000299999998,231.039993,233.309998,13943300.0,205.784821
15-11-2007,230.11000099999998,233.690002,223.74000499999997,227.020004,10243100.0,200.236862
16-11-2007,228.25999500000003,229.57000699999998,222.57000699999998,225.25,10083400.0,198.675705
19-11-2007,223.520004,228.399994,216.61999500000002,220.539993,11007900.0,194.52131699999998
20-11-2007,220.399994,226.229996,213.5,217.479996,13433000.0,191.822342
21-11-2007,213.41000400000001,215.270004,206.440002,209.5,14874300.0,184.783798
23-11-2007,212.520004,216.479996,211.80000299999998,216.479996,4737100.0,190.940384
26-11-2007,214.649994,217.44999700000002,205.419998,207.449997,9815200.0,182.975677
27-11-2007,210.0,213.979996,206.190002,213.330002,11946400.0,188.161957
28-11-2007,217.580002,227.86000099999998,217.080002,227.520004,15710600.0,200.677826
29-11-2007,226.020004,228.309998,222.5,224.38000499999998,9774200.0,197.908325
30-11-2007,232.649994,234.22000099999997,224.770004,226.63999900000002,11878600.0,199.901672
03-12-2007,226.08999599999999,229.350006,223.600006,226.88999900000002,6800300.0,200.122208
04-12-2007,221.059998,223.460007,215.22000099999997,215.22000099999997,10734100.0,189.82896399999998
05-12-2007,219.460007,220.0,214.229996,218.25999500000003,12954700.0,192.51036100000002
06-12-2007,214.5,223.350006,214.289993,222.50999500000003,9987100.0,196.258926
07-12-2007,223.00999500000003,224.039993,217.02999900000003,217.88999900000002,7797700.0,192.18399
10-12-2007,219.190002,224.309998,218.00999500000003,224.210007,8412400.0,197.758392
11-12-2007,224.11000099999998,227.44999700000002,210.690002,211.149994,12783500.0,186.239136
12-12-2007,217.05000299999998,220.850006,208.5,212.580002,18041100.0,187.500427
13-12-2007,209.850006,214.24000499999997,204.940002,208.479996,17143300.0,183.884171
14-12-2007,208.740005,215.19999700000002,207.699997,210.669998,10348500.0,185.815811
17-12-2007,209.75999500000003,211.809998,207.0,208.630005,13323900.0,184.016449
18-12-2007,209.80000299999998,210.52999900000003,196.899994,201.509995,30016700.0,177.73646499999998
19-12-2007,202.679993,206.100006,200.639999,204.16000400000001,11895100.0,180.073822
20-12-2007,206.059998,206.720001,200.649994,202.669998,10108000.0,178.75958300000002
21-12-2007,205.850006,210.25,205.020004,209.600006,10853800.0,184.871979
24-12-2007,211.0,214.94999700000002,210.69999700000002,214.32000699999998,3419400.0,189.035172
26-12-2007,214.08999599999999,217.36999500000002,211.55000299999998,216.690002,4290500.0,191.125549
27-12-2007,214.88000499999998,217.80000299999998,211.94999700000002,211.94999700000002,5304600.0,186.944778
28-12-2007,214.44999700000002,214.770004,211.809998,211.940002,4209500.0,186.935944
31-12-2007,211.58999599999999,216.789993,209.5,215.05000299999998,5834300.0,189.679047
02-01-2008,214.80000299999998,215.05000299999998,206.600006,207.600006,9573500.0,183.107986
03-01-2008,208.919998,209.03999299999998,204.139999,204.83999599999999,7751700.0,180.673553
04-01-2008,201.0,204.0,198.28999299999998,199.929993,10157900.0,176.342865
07-01-2008,200.229996,200.25,189.990005,194.729996,16044400.0,171.756302
08-01-2008,195.809998,199.5,189.0,189.5,13553700.0,167.143341
09-01-2008,189.03999299999998,192.199997,183.699997,191.75,15901200.0,169.12793
10-01-2008,189.350006,199.399994,187.03999299999998,196.91000400000001,14830500.0,173.679123
11-01-2008,196.96000700000002,200.679993,194.570007,198.740005,12400600.0,175.293243
14-01-2008,200.169998,202.220001,199.029999,201.649994,9400200.0,177.859955
15-01-2008,199.550003,199.550003,192.360001,193.28999299999998,11292700.0,170.486191
16-01-2008,193.309998,201.779999,192.399994,197.5,13026600.0,174.199524
17-01-2008,198.28999299999998,199.5,189.66000400000001,190.979996,12283800.0,168.448776
18-01-2008,192.169998,193.389999,184.600006,187.21000700000002,14975700.0,165.123535
22-01-2008,178.169998,192.830002,175.419998,190.690002,19029400.0,168.192963
23-01-2008,186.03999299999998,199.970001,184.58999599999999,199.389999,17635700.0,175.866547
24-01-2008,200.100006,201.0,194.199997,199.199997,11987200.0,175.698975
25-01-2008,201.509995,202.0,189.91000400000001,191.369995,14019500.0,169.089828
28-01-2008,190.619995,196.46000700000002,190.619995,196.25,10216000.0,173.40168799999998
29-01-2008,197.03999299999998,198.360001,194.070007,196.050003,7164500.0,173.224945
30-01-2008,195.270004,205.970001,193.399994,198.550003,17597900.0,175.433975
31-01-2008,196.449997,203.21000700000002,195.0,199.550003,14803500.0,176.317459
01-02-2008,199.149994,208.779999,198.0,207.779999,12207400.0,183.58934
04-02-2008,207.83999599999999,208.0,199.199997,200.800003,9071300.0,177.421967
05-02-2008,194.66000400000001,197.309998,189.610001,189.860001,13276400.0,167.755661
06-02-2008,191.479996,192.850006,186.25,187.169998,9955500.0,165.378876
07-02-2008,185.770004,193.770004,185.320007,190.46000700000002,10839200.0,168.285797
08-02-2008,189.0,190.639999,185.699997,187.070007,7869300.0,165.290482
11-02-2008,187.869995,190.0,185.5,185.869995,8875800.0,164.230209
12-02-2008,186.179993,186.25,178.5,180.649994,18397200.0,159.617889
13-02-2008,180.28999299999998,181.729996,176.5,180.179993,13933900.0,159.202621
14-02-2008,178.5,181.100006,176.5,176.559998,10996700.0,156.004059
15-02-2008,175.100006,178.78999299999998,173.369995,178.41000400000001,12449300.0,157.638687
19-02-2008,180.309998,181.369995,172.679993,173.800003,10366600.0,153.56539899999999
20-02-2008,171.970001,178.850006,171.820007,177.25,10793700.0,156.61373899999998
21-02-2008,178.5,179.199997,174.720001,175.169998,8204800.0,154.775955
22-02-2008,175.550003,178.0,171.389999,177.71000700000002,9631400.0,157.020218
25-02-2008,175.350006,178.0,172.070007,177.360001,12849200.0,156.710953
26-02-2008,175.479996,178.0,171.869995,172.699997,11517900.0,152.593475
27-02-2008,171.83999599999999,181.279999,171.509995,180.800003,15903400.0,159.750504
28-02-2008,180.279999,180.279999,175.570007,176.699997,8828200.0,156.12780800000002
29-02-2008,174.389999,175.53999299999998,169.0,169.630005,11113300.0,149.88089
03-03-2008,169.28999299999998,169.28999299999998,164.309998,165.080002,11920800.0,145.860611
04-03-2008,163.610001,166.440002,160.199997,163.600006,17887900.0,144.552933
05-03-2008,163.91000400000001,168.309998,162.669998,164.970001,13270000.0,145.763443
06-03-2008,162.949997,163.58999599999999,158.130005,158.649994,15129200.0,140.179245
07-03-2008,157.0,163.320007,157.0,160.070007,15228600.0,141.433914
10-03-2008,159.990005,164.779999,155.229996,155.580002,13725600.0,137.466675
11-03-2008,161.899994,164.83999599999999,157.5,163.070007,20415300.0,144.084656
12-03-2008,164.029999,170.059998,162.610001,163.009995,14444900.0,144.031662
13-03-2008,160.440002,167.300003,156.759995,165.440002,18617600.0,146.178772
14-03-2008,167.0,167.800003,155.0,156.860001,27102300.0,138.597626
17-03-2008,142.029999,154.119995,140.270004,151.020004,38648800.0,133.437546
18-03-2008,164.96000700000002,175.880005,159.759995,175.58999599999999,43276100.0,155.146988
19-03-2008,177.940002,178.46000700000002,165.399994,166.490005,24176100.0,147.106491
20-03-2008,166.300003,180.360001,166.21000700000002,179.630005,20801800.0,158.716629
24-03-2008,179.0,184.520004,176.149994,178.880005,15643700.0,158.054001
25-03-2008,177.509995,182.649994,177.139999,179.630005,11666800.0,158.716629
26-03-2008,178.490005,179.050003,174.330002,175.479996,11610600.0,155.049835
27-03-2008,176.610001,177.240005,167.380005,168.139999,15195800.0,148.564377
28-03-2008,169.570007,170.5,163.389999,164.449997,11978700.0,145.303986
31-03-2008,164.169998,168.490005,162.850006,165.389999,8977400.0,146.134552
01-04-2008,171.490005,176.990005,170.21000700000002,176.860001,14694100.0,156.269135
02-04-2008,177.0,181.619995,176.100006,176.869995,12058300.0,156.278
03-04-2008,174.78999299999998,179.149994,172.880005,176.529999,10755800.0,155.977585
04-04-2008,176.550003,179.330002,174.0,175.399994,8496700.0,154.979126
07-04-2008,178.559998,181.75,176.929993,178.729996,10276200.0,157.921417
08-04-2008,177.300003,181.5,176.759995,178.899994,8629400.0,158.071655
09-04-2008,178.25,178.899994,173.149994,174.139999,11425400.0,153.865845
10-04-2008,173.899994,173.899994,168.869995,170.550003,14744400.0,150.693802
11-04-2008,168.0,171.869995,166.869995,167.300003,11355300.0,147.822159
14-04-2008,166.449997,167.550003,163.350006,163.58999599999999,9857900.0,144.54406699999998
15-04-2008,165.059998,165.949997,161.679993,164.199997,9134700.0,145.083099
16-04-2008,166.149994,169.169998,165.91000400000001,169.050003,9340800.0,149.368439
17-04-2008,167.740005,173.5,167.100006,172.100006,8730300.0,152.0634
18-04-2008,176.91000400000001,183.029999,176.91000400000001,179.929993,16882100.0,158.98175
21-04-2008,179.570007,181.75,178.28999299999998,180.399994,7820700.0,159.396988
22-04-2008,179.779999,181.369995,178.5,179.759995,6127000.0,158.83154299999998
23-04-2008,180.83999599999999,183.199997,178.0,179.350006,7435900.0,158.469238
24-04-2008,180.33999599999999,189.389999,179.360001,188.78999299999998,13182700.0,166.810196
25-04-2008,190.259995,192.490005,188.369995,192.0,12187400.0,169.961609
28-04-2008,192.490005,192.5,189.889999,190.240005,6252600.0,168.40361000000001
29-04-2008,190.25,192.679993,188.25,192.679993,7127200.0,170.563477
30-04-2008,193.380005,194.929993,189.820007,191.369995,10352600.0,169.40386999999998
01-05-2008,191.770004,199.190002,190.850006,199.050003,9483200.0,176.202316
02-05-2008,203.389999,203.389999,198.0,200.270004,9437100.0,177.282303
05-05-2008,198.610001,201.119995,196.149994,197.119995,6389900.0,174.493851
06-05-2008,194.600006,199.25,193.110001,197.610001,7508600.0,174.927673
07-05-2008,197.600006,198.440002,189.53999299999998,189.759995,7075600.0,167.97868300000002
08-05-2008,190.75,191.389999,185.259995,187.720001,9867500.0,166.172852
09-05-2008,186.020004,189.979996,185.690002,188.08999599999999,6467800.0,166.50036599999999
12-05-2008,189.449997,192.699997,187.33999599999999,192.080002,5655000.0,170.032379
13-05-2008,191.179993,193.0,189.020004,190.330002,5776700.0,168.48323100000002
14-05-2008,190.600006,192.490005,189.33999599999999,190.130005,5031700.0,168.30621299999999
15-05-2008,189.779999,189.800003,185.320007,188.619995,8015600.0,166.969543
16-05-2008,189.550003,189.610001,186.0,187.139999,6144400.0,165.659454
19-05-2008,185.669998,189.320007,183.470001,184.399994,7009200.0,163.233902
20-05-2008,183.330002,184.899994,181.25,182.429993,6889900.0,161.490051
21-05-2008,182.550003,183.66000400000001,178.009995,178.600006,9068500.0,158.09967
22-05-2008,176.199997,179.919998,175.0,177.199997,8684100.0,156.86038200000002
23-05-2008,176.009995,176.5,171.229996,172.639999,8145500.0,152.82376100000002
27-05-2008,171.759995,174.699997,170.800003,173.919998,8420000.0,153.956848
28-05-2008,174.759995,175.929993,172.21000700000002,174.830002,7238500.0,154.762421
29-05-2008,174.490005,179.5,174.0,176.240005,7755200.0,156.01058999999998
30-05-2008,177.800003,178.860001,175.850006,176.41000400000001,5697400.0,156.161087
02-06-2008,177.0,177.699997,170.809998,172.33999599999999,9847400.0,152.558212
03-06-2008,173.350006,173.66000400000001,167.600006,170.580002,13187400.0,151.000198
04-06-2008,170.0,175.559998,169.550003,172.100006,10777500.0,152.34579499999998
05-06-2008,173.21000700000002,177.440002,173.190002,176.600006,9721900.0,156.329239
06-06-2008,175.070007,175.070007,169.440002,169.440002,10559000.0,149.991074
09-06-2008,170.850006,172.679993,163.350006,165.759995,12998400.0,146.733505
10-06-2008,163.75,169.429993,163.21000700000002,167.21000700000002,11014600.0,148.017044
11-06-2008,167.0,167.25,161.21000700000002,162.399994,16468500.0,143.759155
12-06-2008,163.240005,169.690002,163.240005,166.75,11767100.0,147.609863
13-06-2008,169.470001,178.559998,169.399994,178.28999299999998,14343000.0,157.825241
16-06-2008,177.740005,184.75,176.610001,182.08999599999999,16376300.0,161.189087
17-06-2008,185.03999299999998,185.889999,179.139999,179.440002,24422900.0,158.843246
18-06-2008,176.66000400000001,185.350006,175.559998,182.770004,16222400.0,161.791046
19-06-2008,183.690002,186.979996,181.110001,186.929993,10588800.0,165.473526
20-06-2008,185.020004,186.699997,182.850006,183.770004,11331400.0,162.676285
23-06-2008,184.600006,184.600006,177.009995,178.58999599999999,9840000.0,158.09082
24-06-2008,177.619995,184.600006,177.33999599999999,181.979996,12663400.0,161.09170500000002
25-06-2008,183.110001,187.009995,183.08999599999999,183.649994,10838800.0,162.57003799999998
26-06-2008,179.009995,180.5,175.199997,176.259995,13603700.0,156.02825900000002
27-06-2008,177.009995,178.279999,172.28999299999998,174.559998,12670600.0,154.523392
30-06-2008,175.559998,178.259995,173.28999299999998,174.899994,9373300.0,154.82441699999998
01-07-2008,173.130005,177.059998,170.229996,175.330002,13940400.0,155.20503200000002
02-07-2008,176.770004,182.639999,175.190002,178.78999299999998,16256600.0,158.26783799999998
03-07-2008,180.300003,182.360001,178.259995,178.889999,6185400.0,158.356369
07-07-2008,180.690002,181.91000400000001,167.389999,169.820007,17013300.0,150.327438
08-07-2008,171.369995,176.0,166.740005,174.899994,16790500.0,154.82441699999998
09-07-2008,175.850006,177.470001,167.5,169.020004,12909300.0,149.61930800000002
10-07-2008,167.509995,173.300003,166.25,170.16000400000001,14106200.0,150.62846399999998
11-07-2008,166.350006,167.880005,158.5,162.479996,24827400.0,143.829956
14-07-2008,167.919998,168.0,158.570007,158.669998,15944800.0,140.457245
15-07-2008,157.03999299999998,163.610001,152.25,157.800003,25593100.0,139.687164
